category_code,model,origin_date,horizon,actual,predicted
M01AB,naive,2017-06-30,1,159.67,122.33
M01AB,naive,2017-06-30,3,138.33,122.33
M01AB,seasonal_naive,2017-06-30,1,159.67,203.97000000000017
M01AB,seasonal_naive,2017-06-30,3,138.33,172.96000000000004
M01AB,moving_average,2017-06-30,1,159.67,140.53333333333333
M01AB,moving_average,2017-06-30,3,138.33,140.53333333333333
M01AB,holt_winters,2017-06-30,1,159.67,152.1271260476928
M01AB,holt_winters,2017-06-30,3,138.33,135.9076952062995
M01AB,sarima,2017-06-30,1,159.67,144.2542918036824
M01AB,sarima,2017-06-30,3,138.33,135.58184372426552
M01AB,naive,2017-07-31,1,170.14999999999998,159.67
M01AB,naive,2017-07-31,3,137.64,159.67
M01AB,seasonal_naive,2017-07-31,1,170.14999999999998,211.13000000000017
M01AB,seasonal_naive,2017-07-31,3,137.64,186.7600000000001
M01AB,moving_average,2017-07-31,1,170.14999999999998,141.88666666666666
M01AB,moving_average,2017-07-31,3,137.64,141.88666666666666
M01AB,holt_winters,2017-07-31,1,170.14999999999998,167.5867230986298
M01AB,holt_winters,2017-07-31,3,137.64,170.82453668367359
M01AB,sarima,2017-07-31,1,170.14999999999998,156.32587239903202
M01AB,sarima,2017-07-31,3,137.64,148.21633099306217
M01AB,naive,2017-08-31,1,138.33,170.14999999999998
M01AB,naive,2017-08-31,3,163.85000000000005,170.14999999999998
M01AB,seasonal_naive,2017-08-31,1,138.33,172.96000000000004
M01AB,seasonal_naive,2017-08-31,3,163.85000000000005,175.18000000000012
M01AB,moving_average,2017-08-31,1,138.33,150.71666666666667
M01AB,moving_average,2017-08-31,3,163.85000000000005,150.71666666666667
M01AB,holt_winters,2017-08-31,1,138.33,142.67207195890938
M01AB,holt_winters,2017-08-31,3,163.85000000000005,148.69628369092786
M01AB,sarima,2017-08-31,1,138.33,149.96016453077954
M01AB,sarima,2017-08-31,3,163.85000000000005,150.77520288892504
M01AB,naive,2017-09-30,1,137.64,138.33
M01AB,naive,2017-09-30,3,160.01000000000002,138.33
M01AB,seasonal_naive,2017-09-30,1,137.64,186.7600000000001
M01AB,seasonal_naive,2017-09-30,3,160.01000000000002,169.32000000000002
M01AB,moving_average,2017-09-30,1,137.64,156.04999999999998
M01AB,moving_average,2017-09-30,3,160.01000000000002,156.04999999999998
M01AB,holt_winters,2017-09-30,1,137.64,169.69618524319284
M01AB,holt_winters,2017-09-30,3,160.01000000000002,144.14902525430495
M01AB,sarima,2017-09-30,1,137.64,148.99476276225386
M01AB,sarima,2017-09-30,3,160.01000000000002,142.08037519019896
M01AB,naive,2017-10-31,1,163.85000000000005,137.64
M01AB,naive,2017-10-31,3,132.28,137.64
M01AB,seasonal_naive,2017-10-31,1,163.85000000000005,175.18000000000012
M01AB,seasonal_naive,2017-10-31,3,132.28,181.902083334
M01AB,moving_average,2017-10-31,1,163.85000000000005,148.70666666666668
M01AB,moving_average,2017-10-31,3,132.28,148.70666666666668
M01AB,holt_winters,2017-10-31,1,163.85000000000005,122.4794021615996
M01AB,holt_winters,2017-10-31,3,132.28,121.75263443817695
M01AB,sarima,2017-10-31,1,163.85000000000005,138.4093662937574
M01AB,sarima,2017-10-31,3,132.28,141.07455645622497
M01AB,naive,2017-11-30,1,160.01000000000002,163.85000000000005
M01AB,naive,2017-11-30,3,128.36,163.85000000000005
M01AB,seasonal_naive,2017-11-30,1,160.01000000000002,169.32000000000002
M01AB,seasonal_naive,2017-11-30,3,128.36,139.69000000000003
M01AB,moving_average,2017-11-30,1,160.01000000000002,146.60666666666668
M01AB,moving_average,2017-11-30,3,128.36,146.60666666666668
M01AB,holt_winters,2017-11-30,1,160.01000000000002,145.93134004345916
M01AB,holt_winters,2017-11-30,3,128.36,140.15221985708433
M01AB,sarima,2017-11-30,1,160.01000000000002,149.25676626802675
M01AB,sarima,2017-11-30,3,128.36,138.50574323647572
M01AB,naive,2017-12-31,1,132.28,160.01000000000002
M01AB,naive,2017-12-31,3,146.16,160.01000000000002
M01AB,seasonal_naive,2017-12-31,1,132.28,181.902083334
M01AB,seasonal_naive,2017-12-31,3,146.16,162.85000000000002
M01AB,moving_average,2017-12-31,1,132.28,153.83333333333334
M01AB,moving_average,2017-12-31,3,146.16,153.83333333333334
M01AB,holt_winters,2017-12-31,1,132.28,161.83307033175208
M01AB,holt_winters,2017-12-31,3,146.16,160.7918516272135
M01AB,sarima,2017-12-31,1,132.28,159.278447417405
M01AB,sarima,2017-12-31,3,146.16,152.5390383086194
M01AB,naive,2018-01-31,1,128.36,132.28
M01AB,naive,2018-01-31,3,170.02000000000007,132.28
M01AB,seasonal_naive,2018-01-31,1,128.36,139.69000000000003
M01AB,seasonal_naive,2018-01-31,3,170.02000000000007,155.61000000000004
M01AB,moving_average,2018-01-31,1,128.36,152.0466666666667
M01AB,moving_average,2018-01-31,3,170.02000000000007,152.0466666666667
M01AB,holt_winters,2018-01-31,1,128.36,131.82938024361434
M01AB,holt_winters,2018-01-31,3,170.02000000000007,138.64846493288275
M01AB,sarima,2018-01-31,1,128.36,132.36940742814866
