sale_date,category_code,units_sold,granularity
2014-01-02,M01AB,0.0,daily
2014-01-03,M01AB,8.0,daily
2014-01-04,M01AB,2.0,daily
2014-01-05,M01AB,4.0,daily
2014-01-06,M01AB,5.0,daily
2014-01-07,M01AB,0.0,daily
2014-01-08,M01AB,5.33,daily
2014-01-09,M01AB,7.0,daily
2014-01-10,M01AB,5.0,daily
2014-01-11,M01AB,5.0,daily
2014-01-12,M01AB,2.0,daily
2014-01-13,M01AB,7.34,daily
2014-01-14,M01AB,6.0,daily
2014-01-15,M01AB,4.0,daily
2014-01-16,M01AB,6.0,daily
2014-01-17,M01AB,2.0,daily
2014-01-18,M01AB,1.0,daily
2014-01-19,M01AB,4.33,daily
2014-01-20,M01AB,6.0,daily
2014-01-21,M01AB,2.0,daily
2014-01-22,M01AB,7.0,daily
2014-01-23,M01AB,4.0,daily
2014-01-24,M01AB,4.67,daily
2014-01-25,M01AB,6.0,daily
2014-01-26,M01AB,4.33,daily
2014-01-27,M01AB,4.34,daily
2014-01-28,M01AB,6.0,daily
2014-01-29,M01AB,5.33,daily
2014-01-30,M01AB,3.02,daily
2014-01-31,M01AB,1.0,daily
2014-02-01,M01AB,4.33,daily
2014-02-02,M01AB,7.0,daily
2014-02-03,M01AB,5.0,daily
2014-02-04,M01AB,1.33,daily
2014-02-05,M01AB,3.0,daily
2014-02-06,M01AB,3.33,daily
2014-02-07,M01AB,2.66,daily
2014-02-08,M01AB,3.33,daily
2014-02-09,M01AB,4.0,daily
2014-02-10,M01AB,5.0,daily
2014-02-11,M01AB,10.0,daily
2014-02-12,M01AB,9.0,daily
2014-02-13,M01AB,4.33,daily
2014-02-14,M01AB,4.0,daily
2014-02-15,M01AB,1.0,daily
2014-02-16,M01AB,0.0,daily
2014-02-17,M01AB,7.34,daily
2014-02-18,M01AB,7.34,daily
2014-02-19,M01AB,3.33,daily
2014-02-20,M01AB,7.0,daily
2014-02-21,M01AB,6.0,daily
2014-02-22,M01AB,7.0,daily
2014-02-23,M01AB,1.0,daily
2014-02-24,M01AB,7.0,daily
2014-02-25,M01AB,5.0,daily
2014-02-26,M01AB,5.0,daily
2014-02-27,M01AB,3.0,daily
2014-02-28,M01AB,7.0,daily
2014-03-01,M01AB,6.34,daily
2014-03-02,M01AB,3.34,daily
2014-03-03,M01AB,4.0,daily
2014-03-04,M01AB,5.34,daily
2014-03-05,M01AB,3.34,daily
2014-03-06,M01AB,3.0,daily
2014-03-07,M01AB,4.0,daily
2014-03-08,M01AB,4.34,daily
2014-03-09,M01AB,1.0,daily
2014-03-10,M01AB,6.68,daily
2014-03-11,M01AB,6.0,daily
2014-03-12,M01AB,6.34,daily
2014-03-13,M01AB,2.31,daily
2014-03-14,M01AB,4.34,daily
2014-03-15,M01AB,4.0,daily
2014-03-16,M01AB,2.68,daily
2014-03-17,M01AB,8.68,daily
2014-03-18,M01AB,8.0,daily
2014-03-19,M01AB,4.0,daily
2014-03-20,M01AB,3.0,daily
2014-03-21,M01AB,6.0,daily
2014-03-22,M01AB,3.34,daily
2014-03-23,M01AB,6.34,daily
2014-03-24,M01AB,5.68,daily
2014-03-25,M01AB,4.0,daily
2014-03-26,M01AB,2.34,daily
2014-03-27,M01AB,4.0,daily
2014-03-28,M01AB,2.67,daily
2014-03-29,M01AB,4.0,daily
2014-03-30,M01AB,3.0,daily
2014-03-31,M01AB,5.34,daily
2014-04-01,M01AB,4.34,daily
2014-04-02,M01AB,2.0,daily
2014-04-03,M01AB,1.0,daily
2014-04-04,M01AB,3.0,daily
2014-04-05,M01AB,2.0,daily
2014-04-06,M01AB,2.0,daily
2014-04-07,M01AB,6.34,daily
2014-04-08,M01AB,4.34,daily
2014-04-09,M01AB,6.0,daily
2014-04-10,M01AB,3.33,daily
2014-04-11,M01AB,6.0,daily
2014-04-12,M01AB,7.02,daily
2014-04-13,M01AB,3.0,daily
2014-04-14,M01AB,1.34,daily
2014-04-15,M01AB,4.34,daily
2014-04-16,M01AB,2.0,daily
2014-04-17,M01AB,5.34,daily
2014-04-18,M01AB,7.0,daily
2014-04-19,M01AB,7.34,daily
2014-04-20,M01AB,0.0,daily
2014-04-21,M01AB,1.34,daily
2014-04-22,M01AB,5.34,daily
2014-04-23,M01AB,6.34,daily
2014-04-24,M01AB,2.0,daily
2014-04-25,M01AB,3.0,daily
2014-04-26,M01AB,4.34,daily
2014-04-27,M01AB,4.0,daily
2014-04-28,M01AB,1.34,daily
2014-04-29,M01AB,3.33,daily
2014-04-30,M01AB,4.34,daily
2014-05-01,M01AB,0.0,daily
2014-05-02,M01AB,7.34,daily
2014-05-03,M01AB,4.0,daily
2014-05-04,M01AB,1.67,daily
2014-05-05,M01AB,3.0,daily
2014-05-06,M01AB,7.34,daily
2014-05-07,M01AB,3.33,daily
2014-05-08,M01AB,2.0,daily
2014-05-09,M01AB,2.0,daily
2014-05-10,M01AB,5.0,daily
2014-05-11,M01AB,2.0,daily
2014-05-12,M01AB,4.34,daily
2014-05-13,M01AB,3.68,daily
2014-05-14,M01AB,1.0,daily
2014-05-15,M01AB,2.34,daily
2014-05-16,M01AB,5.34,daily
2014-05-17,M01AB,2.34,daily
2014-05-18,M01AB,3.34,daily
2014-05-19,M01AB,8.34,daily
2014-05-20,M01AB,1.0,daily
2014-05-21,M01AB,2.0,daily
2014-05-22,M01AB,3.68,daily
2014-05-23,M01AB,5.0,daily
2014-05-24,M01AB,3.0,daily
2014-05-25,M01AB,2.0,daily
2014-05-26,M01AB,2.68,daily
2014-05-27,M01AB,0.0,daily
2014-05-28,M01AB,1.34,daily
2014-05-29,M01AB,4.0,daily
2014-05-30,M01AB,3.02,daily
2014-05-31,M01AB,5.67,daily
2014-06-01,M01AB,1.0,daily
2014-06-02,M01AB,4.0,daily
2014-06-03,M01AB,3.0,daily
2014-06-04,M01AB,1.0,daily
2014-06-05,M01AB,0.34,daily
2014-06-06,M01AB,5.0,daily
2014-06-07,M01AB,9.0,daily
2014-06-08,M01AB,1.0,daily
2014-06-09,M01AB,6.33,daily
2014-06-10,M01AB,8.68,daily
2014-06-11,M01AB,4.34,daily
2014-06-12,M01AB,4.34,daily
2014-06-13,M01AB,1.0,daily
2014-06-14,M01AB,4.0,daily
2014-06-15,M01AB,0.34,daily
2014-06-16,M01AB,4.34,daily
2014-06-17,M01AB,5.0,daily
2014-06-18,M01AB,2.0,daily
2014-06-19,M01AB,3.0,daily
2014-06-20,M01AB,7.34,daily
2014-06-21,M01AB,6.0,daily
2014-06-22,M01AB,4.0,daily
2014-06-23,M01AB,2.34,daily
2014-06-24,M01AB,3.0,daily
2014-06-25,M01AB,8.0,daily
