category_code,category_name,horizon,forecast_date,forecast,ci_lower,ci_upper,ci_lower_clipped
M01AB,Anti-inflammatory (acetic acid derivatives),1,2019-10-31,166.8767189626697,133.24545469106346,200.50798323427597,133.24545469106346
M01AB,Anti-inflammatory (acetic acid derivatives),3,2019-12-31,167.63864601815354,129.44483572488474,205.83245631142233,129.44483572488474
M01AE,Anti-inflammatory (propionic acid derivatives),1,2019-10-31,119.52031127047513,76.58432546100201,162.45629707994826,76.58432546100201
M01AE,Anti-inflammatory (propionic acid derivatives),3,2019-12-31,119.99406704201802,75.9931497425943,163.99498434144175,75.9931497425943
N02BA,Analgesics - salicylic acid derivatives,1,2019-10-31,92.58896623047177,58.34021835085137,126.83771411009216,58.34021835085137
N02BA,Analgesics - salicylic acid derivatives,3,2019-12-31,93.43200255748405,55.6893892171733,131.1746158977948,55.6893892171733
N02BE,Analgesics - pyrazolones and anilides,1,2019-10-31,1083.5870480859053,711.237504022392,1455.9365921494186,711.237504022392
N02BE,Analgesics - pyrazolones and anilides,3,2019-12-31,957.1814730896493,511.9282616953672,1402.4346844839315,511.9282616953672
N05B,Anxiolytics,1,2019-10-31,241.17456247654948,125.00483371158049,357.3442912415185,125.00483371158049
N05B,Anxiolytics,3,2019-12-31,255.61910300703923,108.2686668575447,402.96953915653376,108.2686668575447
N05C,Hypnotics and sedatives,1,2019-10-31,17.473135943797306,3.3604808232852594,31.585791064309355,3.3604808232852594
N05C,Hypnotics and sedatives,3,2019-12-31,17.869964869062176,3.4014273167638667,32.33850242136049,3.4014273167638667
R03,Anti-asthmatic and COPD drugs,1,2019-10-31,285.17709598911597,180.12700055684329,390.2271914213886,180.12700055684329
R03,Anti-asthmatic and COPD drugs,3,2019-12-31,293.8169309083962,174.2757586465812,413.3581031702112,174.2757586465812
R06,Antihistamines,1,2019-10-31,85.99049482191137,35.642366663821925,136.33862298000082,35.642366663821925
R06,Antihistamines,3,2019-12-31,62.95169464511914,12.278798852620113,113.62459043761817,12.278798852620113
