sale_date,category_code,units_sold,granularity
2014-01-05,M01AB,14.0,weekly
2014-01-12,M01AB,29.33,weekly
2014-01-19,M01AB,30.67,weekly
2014-01-26,M01AB,34.0,weekly
2014-02-02,M01AB,31.02,weekly
2014-02-09,M01AB,22.65,weekly
2014-02-16,M01AB,33.33,weekly
2014-02-23,M01AB,39.01,weekly
2014-03-02,M01AB,36.68,weekly
2014-03-09,M01AB,25.02,weekly
2014-03-16,M01AB,32.35,weekly
2014-03-23,M01AB,39.36,weekly
2014-03-30,M01AB,25.69,weekly
2014-04-06,M01AB,19.68,weekly
2014-04-13,M01AB,36.03,weekly
2014-04-20,M01AB,27.36,weekly
2014-04-27,M01AB,26.36,weekly
2014-05-04,M01AB,22.02,weekly
2014-05-11,M01AB,24.67,weekly
2014-05-18,M01AB,22.38,weekly
2014-05-25,M01AB,25.02,weekly
2014-06-01,M01AB,17.71,weekly
2014-06-08,M01AB,23.34,weekly
2014-06-15,M01AB,29.03,weekly
2014-06-22,M01AB,31.68,weekly
2014-06-29,M01AB,21.02,weekly
2014-07-06,M01AB,27.35,weekly
2014-07-13,M01AB,26.01,weekly
2014-07-20,M01AB,33.67,weekly
2014-07-27,M01AB,28.01,weekly
2014-08-03,M01AB,20.02,weekly
2014-08-10,M01AB,28.36,weekly
2014-08-17,M01AB,26.02,weekly
2014-08-24,M01AB,36.36,weekly
2014-08-31,M01AB,22.05,weekly
2014-09-07,M01AB,29.7,weekly
2014-09-14,M01AB,18.7,weekly
2014-09-21,M01AB,18.02,weekly
2014-09-28,M01AB,25.36,weekly
2014-10-05,M01AB,32.35,weekly
2014-10-12,M01AB,23.7,weekly
2014-10-19,M01AB,23.115,weekly
2014-10-26,M01AB,19.69,weekly
2014-11-02,M01AB,25.67,weekly
2014-11-09,M01AB,40.67,weekly
2014-11-16,M01AB,31.67,weekly
2014-11-23,M01AB,28.35,weekly
2014-11-30,M01AB,31.06,weekly
2014-12-07,M01AB,28.69,weekly
2014-12-14,M01AB,25.02,weekly
2014-12-21,M01AB,25.01,weekly
2014-12-28,M01AB,36.18,weekly
2015-01-04,M01AB,36.68,weekly
2015-01-11,M01AB,19.34,weekly
2015-01-18,M01AB,39.35,weekly
2015-01-25,M01AB,29.69,weekly
2015-02-01,M01AB,32.19,weekly
2015-02-08,M01AB,20.34,weekly
2015-02-15,M01AB,35.01,weekly
2015-02-22,M01AB,21.67,weekly
2015-03-01,M01AB,43.35,weekly
